"","year_built","zone","total_value","tax_district","area","parcel_id","bldg_value","land_value","deed_date","prior","tax_year","land_use_code","lci"
"1130","1962.000000","R2M",767400,"001",31979.056783,"00115164000",585700,181700,"2013-04-23T00:00:00","{ ""2009"": { ""zone"": ""R2M"", ""total_value"": 767400, ""tax_district"": ""001"", ""bldg_value"": 585700, ""land_value"": 181700, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R2M"", ""total_value"": 767400, ""tax_district"": ""001"", ""bldg_value"": 585700, ""land_value"": 181700, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R2M"", ""total_value"": 767400, ""tax_district"": ""001"", ""bldg_value"": 585700, ""land_value"": 181700, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"1260","1966.000000","R2M",346000,"001",26822.149449,"00116309000",186100,159900,"1995-08-09T00:00:00","{ ""2009"": { ""zone"": ""R2M"", ""total_value"": 346000, ""tax_district"": ""001"", ""bldg_value"": 186100, ""land_value"": 159900, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R2M"", ""total_value"": 346000, ""tax_district"": ""001"", ""bldg_value"": 186100, ""land_value"": 159900, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R2M"", ""total_value"": 346000, ""tax_district"": ""001"", ""bldg_value"": 186100, ""land_value"": 159900, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"2592","1959.000000","B3",0,"001",17102.60312,"00125261000",0,0,"1994-05-06T00:00:00","{ ""2009"": { ""zone"": ""B3"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""B3"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""B3"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"2897",NA,"PLI-P",0,"001",243120.102228,"00204620000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI-P"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Res"" }, ""2006"": { ""zone"": ""PLI-P"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Res"" }, ""2012"": { ""zone"": ""PLI-P"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Res"" } }","2014","SCHOOL","Res"
"3010","1915.000000","PLI-P",0,"001",43862.070059,"00208303000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI-P"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI-P"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI-P"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"3156","1990.000000","B2C",0,"001",11410.7094,"00209266000",0,0,"2012-10-01T00:00:00","{ ""2009"": { ""zone"": ""B2C"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""B2C"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""B2C"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"3513","2006.000000","B2C",2824001,"001",21000.01204,"00211273000",1698900,1156700,"2006-08-14T00:00:00","{ ""2009"": { ""zone"": ""B2C"", ""total_value"": 2824001, ""tax_district"": ""001"", ""bldg_value"": 1698900, ""land_value"": 1156700, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""B2C"", ""total_value"": 2824001, ""tax_district"": ""001"", ""bldg_value"": 1698900, ""land_value"": 1156700, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""B2C"", ""total_value"": 2824001, ""tax_district"": ""001"", ""bldg_value"": 1698900, ""land_value"": 1156700, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"3869","2002.000000","PLI",0,"001",198454.452802,"00213531000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"4769","1985.000000","PLI",0,"001",482947.08888,"00219512000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"5065","1960.000000","R4",0,"001",33343.712871,"00302206000",0,0,"1982-03-24T00:00:00","{ ""2009"": { ""zone"": ""R4"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R4"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R4"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
