"","x"
"1","01-135"
"2","01-145"
"3","01-155"
"4","01-165"
"5","01-175"
"6","01-183"
"7","01-195"
"8","02-235"
"9","02-245"
"10","02-255"
"11","02-265"
"12","02-270"
"13","02-275"
"14","03-345"
"15","03-355"
"16","03-365"
"17","03-375"
"18","03-385"
"19","04-446"
"20","04-455"
"21","04-465"
"22","04-470"
"23","04-475"
"24","04-480"
"25","04-485"
"26","04-490"
"27","04-495"
"28","04-499"
"29","05-580"
"30","05-582"
"31","05-584"
"32","05-586"
"33","05-588"
"34","05-590"
"35","05-592"
"36","05-594"
"37","05-596"
"38","06-600"
"39","06-608"
"40","06-622"
"41","06-628"
"42","06-632"
"43","06-640"
"44","06-645"
"45","06-650"
"46","06-655"
"47","06-660"
"48","07-005"
"49","07-010"
"50","07-015"
"51","07-020"
"52","07-025"
"53","07-030"
"54","07-035"
"55","07-040"
"56","07-045"
"57","08-055"
"58","08-060"
"59","08-065"
"60","08-070"
"61","08-075"
"62","08-080"
"63","08-085"
"64","08-090"
"65","08-095"
"66","09-100"
"67","09-105"
"68","09-110"
"69","09-115"
"70","09-120"
"71","09-125"
"72","10-130"
"73","10-135"
"74","10-140"
"75","10-145"
"76","10-150"
"77","10-155"
"78","11-200"
"79","11-205"
"80","11-210"
"81","11-215"
"82","11-220"
"83","11-225"
"84","11-230"
"85","12-235"
"86","12-240"
"87","12-245"
"88","12-250"
"89","12-255"
"90","13-300"
"91","13-305"
"92","13-310"
"93","13-315"
"94","13-320"
"95","14-325"
"96","14-330"
"97","14-335"
"98","14-340"
"99","14-345"
"100","14-350"
"101","14-355"
"102","15-400"
"103","15-405"
"104","15-410"
"105","15-415"
"106","15-420"
"107","15-425"
"108","15-430"
"109","16-435"
"110","16-440"
"111","16-445"
"112","16-450"
"113","16-455"
"114","16-460"
"115","16-465"
"116","16-470"
"117","16-475"
"118","16-480"
"119","17-500"
"120","17-505"
"121","17-510"
"122","17-515"
"123","17-520"
"124","17-525"
"125","18-530"
"126","18-535"
"127","18-540"
"128","18-545"
"129","18-550"
"130","18-555"
"131","18-560"
"132","18-565"
"133","18-570"
"134","19-600"
"135","19-605"
"136","19-610"
"137","19-615"
"138","19-620"
"139","19-625"
"140","19-630"
"141","19-635"
"142","20-640"
"143","20-645"
"144","20-650"
"145","20-655"
"146","20-660"
"147","20-665"
"148","20-670"
"149","21-700"
"150","21-705"
"151","21-710"
"152","21-715"
"153","21-720"
"154","21-725"
"155","21-730"
"156","22-735"
"157","22-740"
"158","22-745"
"159","22-750"
"160","22-755"
"161","22-760"
"162","22-765"
"163","22-770"
"164","23-800"
"165","23-805"
"166","23-810"
"167","23-815"
"168","23-820"
"169","23-825"
"170","23-830"
"171","23-835"
"172","24-840"
"173","24-845"
"174","24-850"
"175","24-855"
"176","24-860"
"177","24-865"
"178","24-870"
"179","25-900"
"180","25-905"
"181","25-910"
"182","25-915"
"183","25-920"
"184","25-925"
"185","25-930"
"186","25-935"
"187","26-940"
"188","26-945"
"189","26-950"
"190","26-955"
"191","26-960"
"192","26-965"
"193","26-970"
"194","27-105"
"195","27-110"
"196","27-115"
"197","27-120"
"198","27-125"
"199","27-130"
"200","27-135"
"201","27-140"
"202","27-145"
"203","28-100"
"204","28-110"
"205","28-120"
"206","28-130"
"207","28-140"
"208","28-150"
"209","28-160"
"210","28-170"
"211","28-180"
"212","28-190"
"213","29-200"
"214","29-210"
"215","29-220"
"216","29-230"
"217","29-240"
"218","29-250"
"219","30-300"
"220","30-310"
"221","30-320"
"222","30-330"
"223","30-340"
"224","30-350"
"225","30-360"
"226","30-370"
"227","30-380"
"228","30-390"
"229","30-395"
"230","31-400"
"231","31-410"
"232","31-420"
"233","31-430"
"234","31-440"
"235","31-450"
"236","31-460"
"237","32-500"
"238","32-505"
"239","32-510"
"240","32-515"
"241","32-520"
"242","32-525"
"243","32-530"
"244","32-535"
"245","32-540"
"246","32-545"
"247","33-600"
"248","33-610"
"249","33-620"
"250","33-630"
"251","33-640"
"252","33-650"
"253","33-660"
"254","33-670"
"255","33-680"
"256","33-690"
"257","34-700"
"258","34-705"
"259","34-710"
"260","34-715"
"261","34-720"
"262","34-725"
"263","34-730"
"264","34-735"
"265","34-740"
"266","34-745"
"267","34-750"
"268","34-755"
"269","34-760"
"270","34-765"
"271","34-770"
"272","35-800"
"273","35-805"
"274","35-810"
"275","35-815"
"276","35-820"
"277","35-825"
"278","35-830"
"279","35-835"
"280","35-840"
"281","35-845"
"282","35-850"
"283","35-855"
"284","35-860"
"285","36-002"
"286","36-004"
"287","36-006"
"288","36-008"
"289","36-010"
"290","36-012"
"291","36-014"
"292","36-016"
"293","36-018"
"294","36-020"
"295","36-022"
"296","36-024"
"297","36-026"
"298","36-028"
"299","36-030"
"300","36-032"
"301","36-034"
"302","36-036"
"303","36-038"
"304","36-042"
"305","36-044"
"306","36-046"
"307","36-048"
"308","36-050"
"309","36-052"
"310","36-054"
"311","36-056"
"312","36-058"
"313","36-060"
"314","36-062"
"315","36-064"
"316","36-066"
"317","36-068"
"318","36-070"
"319","36-072"
"320","36-074"
"321","36-076"
"322","36-078"
"323","36-080"
"324","36-082"
"325","36-084"
"326","36-086"
"327","36-616"
"328","37-700"
"329","37-702"
"330","37-704"
"331","37-706"
"332","37-708"
"333","37-710"
"334","37-712"
"335","37-714"
"336","37-716"
"337","37-718"
"338","37-720"
"339","37-722"
"340","37-724"
"341","37-726"
"342","37-728"
"343","37-730"
"344","37-732"
"345","37-734"
"346","37-736"
"347","38-805"
"348","38-810"
"349","38-815"
"350","38-820"
"351","38-825"
"352","38-827"
"353","38-830"
"354","38-833"
"355","38-835"
"356","38-845"
"357","38-853"
"358","38-855"
"359","38-863"
"360","38-865"
"361","38-870"
"362","38-890"
"363","38-893"
"364","38-895"
"365","38-900"
"366","38-904"
"367","38-910"
"368","38-916"
"369","38-918"
"370","38-920"
"371","38-922"
"372","38-928"
"373","38-930"
"374","38-936"
"375","38-940"
"376","39-005"
"377","39-007"
"378","39-010"
"379","39-012"
"380","39-015"
"381","39-020"
